序號,Value,Qty(Per Board),廠牌,類型,型式,辨識備註,Connector高度(mm),腳位Pitch(mm),腳位數量,資料來源,3D預覽圖連結,Datasheet連結,封裝
32,MAX38888ATD+T,1,Analog Devices,IC,SMT,,,,,"https://www.analog.com/media/en/technical-documentation/data-sheets/max38888.pdf
https://mds.analog.com/api/public/content/21-0137x.pdf",,,TDFN-14 EP (3×3 mm) / Pitch 0.40 mm
33,MAX40203AUK+T,1,Analog Devices,IC,SMT,,,,,https://www.analog.com/media/en/technical-documentation/data-sheets/max40203.pdf,,,SOT-23-5 / Pitch 0.95 mm
34,LM25117PMHX/NOPB,1,Texas Instruments,IC,SMT,,,,,"https://www.ti.com/product/LM25117
https://www.ti.com/lit/ml/mhts001h/mhts001h.pdf",,,HTSSOP-20 (PWP) / Pitch 0.65 mm
35,TLV7022DDFR,4,Texas Instruments,IC,SMT,,,,,"https://www.ti.com/product/TLV7022/part-details/TLV7022DDFR
https://www.ti.com/lit/ml/mpds569a/mpds569a.pdf",,,SOT-23-THIN-8 (DDF) / Pitch 0.65 mm
36,TLV9062IDDFR,1,Texas Instruments,IC,SMT,,,,,"https://www.ti.com/product/TLV9062/part-details/TLV9062IDDFR
https://www.ti.com/lit/ml/mpds569a/mpds569a.pdf",,,SOT-23-THIN-8 (DDF) / Pitch 0.65 mm
37,178495-1,1,TE Connectivity,CONN,DIP,確認為 Connector；TE 官方規格 Connector Height 9.55 mm。,9.55,3.96,2,https://www.te.com/en/product-178495-1.html,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocFormat=pdf&DocLang=English&DocNm=178495-1&DocType=Customer+View+Model&PartCntxt=178495-1,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocFormat=pdf&DocLang=English&DocNm=1773458-5_POWER_DBL_LOCK&DocType=Data+Sheet&PartCntxt=178495-1,
38,SPM6545VT-100M-D,5,TDK,IND,SMT,,,,,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=SPM6545VT-100M-D,,,0.276 × 0.256 in（非EIA）
39,SPM3020T-1R0M-LR,1,TDK,IND,SMT,,,,,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=SPM3020T-1R0M-LR,,,0.126 × 0.118 in（非EIA）
40,SPM6530T-4R7M,1,TDK,IND,SMT,,,,,https://product.tdk.com/en/search/inductor/inductor/smd/info?part_no=SPM6530T-4R7M,,,0.280 × 0.256 in（非EIA）
41,XAL1010-103MED,1,Coilcraft,IND,SMT,,,,,https://www.coilcraft.com/en-us/products/power/shielded-inductors/molded-inductor/xal/xal1010/,,,0.394 × 0.394 in（非EIA）
42,"NX3008PBKW,115",5,Nexperia,FET,SMT,Nexperia NX3008PBKW：SOT-323 / SC-70。,,,,https://www.nexperia.com/product/NX3008PBKW,,,SOT-323 (SC-70)
43,NX7002BKWX,2,Nexperia,FET,SMT,Nexperia NX7002BKWX：SOT-323 / SC-70。,,,,https://www.nexperia.com/chemical-content/NX7002BKW.html,,,SOT-323 (SC-70)
44,"BSS84AKW,115",1,Nexperia,FET,SMT,"Nexperia BSS84AKW,115：SOT-323 / SC-70。",,,,https://www.nexperia.com/chemical-content/BSS84AKW.html,,,SOT-323 (SC-70)
45,BSZ040N06LS5ATMA1,2,Infineon,FET,SMT,Infineon BSZ040N06LS5：PG-TSDSON-8；Package Name PQFN 3×3。,,,,https://www.infineon.com/part/BSZ040N06LS5,,,PG-TSDSON-8 / PQFN 3×3
46,AOD409,1,Alpha & Omega,FET,SMT,AOS AOD409：TO-252，常稱 DPAK。,,,,https://www.aosmd.com/products/mosfets/p-channel-mosfets-8v-60v/aod409,,,TO-252 (DPAK)
47,RK73Z1ETTP,10,KOA,RES,SMT,,,,,,,,0402
48,RK73H1ETTP1002F,8,KOA,RES,SMT,,,,,,,,0402
49,RK73H1ETTP3301F,5,KOA,RES,SMT,,,,,,,,0402
50,RK73H1ETTP1001F,13,KOA,RES,SMT,,,,,,,,0402
51,RK73H1ETTP3302F,9,KOA,RES,SMT,,,,,,,,0402
52,RK73H1ETTP4701F,11,KOA,RES,SMT,,,,,,,,0402
53,RK73H1ETTP1003F,26,KOA,RES,SMT,,,,,,,,0402
54,RK73H1ETTP6801F,3,KOA,RES,SMT,,,,,,,,0402
55,RK73H1ETTP8201F,2,KOA,RES,SMT,,,,,,,,0402
56,RK73H1ETTP1502F,1,KOA,RES,SMT,,,,,,,,0402
57,RK73H2ATTD10R0F,4,KOA,RES,SMT,,,,,,,,0805
58,RK73H1ETTP5603F,2,KOA,RES,SMT,,,,,,,,0402
59,RK73H1ETTP2703F,1,KOA,RES,SMT,,,,,,,,0402
60,RK73H1ETTP1503F,1,KOA,RES,SMT,,,,,,,,0402
61,RK73H1ETTP2202F,6,KOA,RES,SMT,,,,,,,,0402
62,RK73H1ETTP4702F,7,KOA,RES,SMT,,,,,,,,0402
63,RK73H1ETTP2201F,1,KOA,RES,SMT,,,,,,,,0402
64,PRL1632-R010-F-T5,1,Susumu,RES,SMT,,,,,,,,0612
65,RK73H1ETTP1501F,1,KOA,RES,SMT,,,,,,,,0402
66,RK73H1ETTP10R0F,4,KOA,RES,SMT,,,,,,,,0402
67,RK73H1ETTP4703F,4,KOA,RES,SMT,,,,,,,,0402
68,RK73H1ETTP3303F,4,KOA,RES,SMT,,,,,,,,0402
69,RK73H1ETTP6802F,4,KOA,RES,SMT,,,,,,,,0402
70,RK73H1ETTP3300F,11,KOA,RES,SMT,,,,,,,,0402
71,RK73Z2ATTD,1,KOA,RES,SMT,,,,,,,,0805
72,EDZVT2R12B,2,ROHM,ZEN,SMT,ROHM EDZVT2R12B：EMD2；Package Code SOD-523 / JEITA SC-79。,,,,https://www.rohm.com/products/diodes/zener-diodes/standard/edzv12b-product,,,EMD2 / SOD-523 (SC-79)
73,SMDJ30A,1,Littelfuse,TVS DIODE,SMT,Littelfuse SMDJ30A：DO-214AB，常稱 SMC。,,,,https://www.littelfuse.com/products/overvoltage-protection/tvs-diodes/surface-mount/smdj,,,DO-214AB (SMC J-Bend)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
第二PCB,,,,,,,,,,,,,
1,CGA5L2C0G1H104J160AA,2,TDK,CAP,SMT,,,,,,,,1206
2,1720650202,1,Molex,CONN,DIP,第二PCB；確認為 Connector；高度 14.80 mm 為 Insulation Height。,14.8,5.7,2,"https://www.molex.com/en-us/products/series-chart/172065
https://www.digikey.com/en/products/detail/molex/1720650202/7604326",https://www.mouser.com/en/ProductDetail/Molex/172065-0202?qs=BZBei1rCqCCru1TXi1Q0xA%3D%3D,"官方產品頁：https://www.molex.com/en-us/products/part-detail/1720650202
PDF：https://www.farnell.com/datasheets/2360584.pdf",
3,2002411122,1,Molex,CONN,DIP,第二PCB；確認為 Connector；高度 15.29 mm 為 Insulation Height。,15.29,5.7,2,"https://www.molex.com/en-us/products/series-chart/200241
https://www.digikey.com/en/products/detail/molex/2002411122/10709053",https://www.mouser.com/en/ProductDetail/Molex/200241-1122?qs=PzGy0jfpSMtReuFSxKSvdQ%3D%3D,"官方產品頁：https://www.molex.com/en-us/products/part-detail/2002411122
PDF：https://static6.arrow.com/aropdfconversion/13427ca82285fdc04225ec7cf86ce34e782f8b03/dtemp2002411122.pdf",
4,ACM1211-102-2PL-TL01,1,TDK,FILTER,SMT,,,,,https://product.tdk.com/en/search/emc/emc/line-filter/info?part_no=ACM1211-102-2PL-TL01,,,0.472 × 0.433 in（非EIA）
5,SMDJ30A,1,Littelfuse,TVS Diode,SMT,第二PCB：Littelfuse SMDJ30A，DO-214AB / SMC。,,,,https://www.littelfuse.com/products/overvoltage-protection/tvs-diodes/surface-mount/smdj,,,DO-214AB (SMC J-Bend)
